7 letter word,Total Points,% Chance,Points Rank,Likelihood Rank
muzjiks,29,2.88e-12,1,82
tzaddiq,27,7.78e-11,2,57
jukebox,27,7.68e-12,2,78
bezique,27,1.04e-10,2,53
cazique,27,7.78e-11,2,57
mezquit,27,5.18e-11,2,61
zootaxy,26,6.91e-11,3,58
zinkify,26,1.94e-11,3,71
zambuck,26,2.88e-12,3,82
squawky,26,5.76e-12,3,80
sovkhoz,26,1.02e-11,3,76
zombify,26,1.15e-11,3,75
kolhozy,26,1.02e-11,3,76
quetzal,25,1.04e-10,4,53
quinzes,25,1.04e-10,4,53
squeeze,25,2.76e-10,4,42
squiffy,25,1.15e-11,4,75
quickly,25,5.76e-12,4,80
zymurgy,25,5.76e-12,4,80
quezals,25,6.91e-11,4,58
packwax,25,6.48e-12,4,79
muzhiks,25,5.76e-12,4,80
jambeux,25,1.73e-11,4,72
frawzey,25,5.18e-11,4,61
asphyxy,25,5.76e-12,4,80
jezebel,25,1.38e-10,4,50
waxwork,24,1.73e-11,5,72
queachy,24,3.46e-11,5,65
oxidize,24,3.11e-10,5,41
mythize,24,5.18e-11,5,61
showbiz,24,2.3e-11,5,69
queechy,24,4.61e-11,5,62
zaddick,24,2.59e-11,5,68
jerqued,24,1.38e-10,5,50
zebecks,24,2.3e-11,5,69
zephyrs,24,2.3e-11,5,69
zincify,24,3.89e-11,5,64
mitzvah,24,3.89e-11,5,64
ziplock,24,1.15e-11,5,75
zlotych,24,1.54e-11,5,73
zythums,24,7.68e-12,5,78
zambuks,24,5.76e-12,5,80
kibbutz,24,8.64e-12,5,77
czapkas,24,1.3e-11,5,74
kajawah,24,2.92e-11,5,67
jaywalk,24,1.3e-11,5,74
jackdaw,24,1.3e-11,5,74
hypoxic,24,1.15e-11,5,75
hydroxy,24,1.54e-11,5,73
hutzpah,24,1.73e-11,5,72
hamzahs,24,2.59e-11,5,68
jumbuck,24,1.28e-12,5,83
chintzy,24,2.59e-11,5,68
cachexy,24,1.73e-11,5,72
kibbitz,24,1.94e-11,5,71
jumpoff,24,5.12e-12,5,81
schmalz,23,1.15e-11,6,75
schmelz,23,1.54e-11,6,73
schmooz,23,2.05e-11,6,70
quixote,23,2.07e-10,6,46
quakily,23,2.59e-11,6,68
oxazine,23,4.67e-10,6,38
quacked,23,3.46e-11,6,65
mazhbis,23,2.59e-11,6,68
squabby,23,1.15e-11,6,75
pemphix,23,1.73e-11,6,72
quaffed,23,6.91e-11,6,58
squawks,23,1.15e-11,6,75
squeaky,23,3.46e-11,6,65
vizying,23,5.83e-11,6,60
wheezed,23,2.76e-10,6,42
workbox,23,1.54e-11,6,73
zanjero,23,3.11e-10,6,41
zecchin,23,5.18e-11,6,61
zelkova,23,6.91e-11,6,58
zeuxite,23,3.11e-10,6,41
zincked,23,5.18e-11,6,61
machzor,23,3.46e-11,6,65
zymomes,23,3.07e-11,6,66
zymotic,23,3.46e-11,6,65
syzygal,23,1.73e-11,6,72
lockjaw,23,1.15e-11,6,75
jerques,23,1.38e-10,6,50
kwanzas,23,3.89e-11,6,64
kyanize,23,1.17e-10,6,52
avyzing,23,5.83e-11,6,60
azulejo,23,1.38e-10,6,50
chometz,23,4.61e-11,6,62
chutzpa,23,1.73e-11,6,72
chymify,23,5.76e-12,6,80
cyclize,23,3.46e-11,6,65
dockize,23,6.91e-11,6,58
enzymic,23,5.18e-11,6,61
equinox,23,2.07e-10,6,46
chametz,23,5.18e-11,6,61
hijacks,23,1.3e-11,6,74
janizar,23,2.62e-10,6,43
jerquer,23,2.07e-10,6,46
foxfish,23,2.3e-11,6,69
jewfish,23,3.46e-11,6,65
jezails,23,1.56e-10,6,49
jockeys,23,1.54e-11,6,73
khazens,23,5.18e-11,6,61
jockney,23,2.3e-11,6,69
jonquil,23,6.91e-11,6,58
mazurka,22,3.89e-11,7,64
methoxy,22,4.61e-11,7,62
pajocks,22,1.15e-11,7,75
pajocke,22,3.46e-11,7,65
pharynx,22,2.59e-11,7,68
pheezed,22,2.76e-10,7,42
oxyphil,22,2.3e-11,7,69
manjack,22,1.94e-11,7,71
zaddiks,22,5.18e-11,7,61
liquify,22,5.18e-11,7,61
wheezle,22,2.76e-10,7,42
woozily,22,9.22e-11,7,54
zaffars,22,7.78e-11,7,57
zaffers,22,1.04e-10,7,53
zaffirs,22,7.78e-11,7,57
phenoxy,22,4.61e-11,7,62
zanyish,22,7.78e-11,7,57
zaffres,22,1.04e-10,7,53
lockbox,22,1.02e-11,7,76
phizogs,22,3.46e-11,7,65
qwertys,22,6.91e-11,7,58
wheezes,22,2.76e-10,7,42
liquefy,22,6.91e-11,7,58
qawwali,22,1.17e-10,7,52
quaffer,22,1.04e-10,7,53
quackle,22,3.46e-11,7,65
quavery,22,1.04e-10,7,53
quiched,22,6.91e-11,7,58
quicken,22,5.18e-11,7,61
quicker,22,5.18e-11,7,61
quickie,22,7.78e-11,7,57
pixyish,22,2.59e-11,7,68
quivery,22,1.04e-10,7,53
showbox,22,2.05e-11,7,70
sjambok,22,1.15e-11,7,75
squashy,22,2.3e-11,7,69
squishy,22,2.3e-11,7,69
tzaddik,22,7.78e-11,7,57
waxworm,22,3.46e-11,7,65
whaizle,22,1.56e-10,7,49
wheezer,22,4.15e-10,7,39
pickaxe,22,3.89e-11,7,64
ziffius,22,5.18e-11,7,61
mazedly,22,6.91e-11,7,58
zimocca,22,5.18e-11,7,61
foxship,22,2.3e-11,7,69
fowlpox,22,2.05e-11,7,70
fahlerz,22,1.04e-10,7,53
exarchy,22,5.18e-11,7,61
djibbah,22,2.59e-11,7,68
cozying,22,5.18e-11,7,61
coxcomb,22,1.02e-11,7,76
carjack,22,1.94e-11,7,71
hafizes,22,1.56e-10,7,49
buzukis,22,1.15e-11,7,75
bumbaze,22,3.46e-11,7,65
britzka,22,5.83e-11,7,60
boxfish,22,2.3e-11,7,69
blowzed,22,6.14e-11,7,59
bazouki,22,5.18e-11,7,61
bazooka,22,1.04e-10,7,53
quacker,22,5.18e-11,7,61
qualify,22,5.18e-11,7,61
buzukia,22,2.59e-11,7,68
lazyish,22,5.18e-11,7,61
hazelly,22,6.91e-11,7,58
hexylic,22,3.46e-11,7,65
zoogamy,22,6.91e-11,7,58
zuffoli,22,4.61e-11,7,62
zuffolo,22,4.1e-11,7,63
zydecos,22,6.14e-11,7,59
zygomas,22,3.46e-11,7,65
zygotic,22,5.18e-11,7,61
zymogen,22,6.91e-11,7,58
kvetchy,22,1.15e-11,7,75
hexarch,22,5.18e-11,7,61
kumquat,22,1.73e-11,7,72
khodjas,22,2.3e-11,7,69
jubhahs,22,1.15e-11,7,75
jinxing,22,8.75e-11,7,55
jamboks,22,1.15e-11,7,75
jackpot,22,1.73e-11,7,72
jackmen,22,2.59e-11,7,68
jackman,22,1.94e-11,7,71
hypoxia,22,5.18e-11,7,61
klezmer,22,6.91e-11,7,58
qawwals,22,5.18e-11,7,61
rhizome,21,2.07e-10,8,46
rhizopi,21,1.56e-10,8,49
hutzpas,21,3.46e-11,8,65
fizgigs,21,5.83e-11,8,60
fixedly,21,6.91e-11,8,58
khanjar,21,5.83e-11,8,60
killjoy,21,2.3e-11,8,69
equably,21,6.91e-11,8,58
kuchcha,21,5.76e-12,8,80
lacquey,21,6.91e-11,8,58
maffick,21,1.3e-11,8,74
enzymes,21,1.38e-10,8,50
echoize,21,4.15e-10,8,39
mahzors,21,6.91e-11,8,58
diquark,21,7.78e-11,8,57
matzahs,21,7.78e-11,8,57
defuzed,21,1.84e-10,8,47
matzohs,21,6.91e-11,8,58
dazedly,21,1.38e-10,8,50
czardom,21,6.91e-11,8,58
cyanize,21,2.33e-10,8,45
crazily,21,7.78e-11,8,57
coryzas,21,6.91e-11,8,58
coryzal,21,6.91e-11,8,58
cockshy,21,5.12e-12,8,81
cliquey,21,6.91e-11,8,58
chylify,21,1.15e-11,8,75
matzoth,21,1.04e-10,8,53
chyacks,21,5.76e-12,8,80
chorizo,21,1.38e-10,8,50
flummox,21,1.02e-11,8,76
flyback,21,5.76e-12,8,80
kachcha,21,1.3e-11,8,74
foxlike,21,6.91e-11,8,58
jeffing,21,7.78e-11,8,57
janskys,21,1.73e-11,8,72
jambiya,21,5.83e-11,8,60
jaloppy,21,2.3e-11,8,69
jackleg,21,2.59e-11,8,68
jerkily,21,5.18e-11,8,61
jhatkas,21,3.89e-11,8,64
jacking,21,2.92e-11,8,67
jacchus,21,1.15e-11,8,75
isozyme,21,1.38e-10,8,50
jibbahs,21,2.59e-11,8,68
hobjobs,21,2.05e-11,8,70
jimminy,21,3.89e-11,8,64
jawlike,21,7.78e-11,8,57
hijinks,21,3.89e-11,8,64
jobbery,21,4.61e-11,8,62
jookery,21,9.22e-11,8,54
joukery,21,4.61e-11,8,62
joypops,21,2.05e-11,8,70
hazmats,21,7.78e-11,8,57
hazanim,21,1.75e-10,8,48
jubbahs,21,1.15e-11,8,75
jumpily,21,1.15e-11,8,75
haycock,21,1.15e-11,8,75
hawbuck,21,5.76e-12,8,80
gazumps,21,1.73e-11,8,72
gazooka,21,1.56e-10,8,49
foxskin,21,3.46e-11,8,65
jipyapa,21,5.83e-11,8,60
chequer,21,1.38e-10,8,50
cheques,21,9.22e-11,8,54
chazans,21,7.78e-11,8,57
azymite,21,2.33e-10,8,45
mazeful,21,6.91e-11,8,58
agryzed,21,1.56e-10,8,49
affixed,21,1.56e-10,8,49
pheazar,21,2.33e-10,8,45
adzukis,21,5.18e-11,8,61
pheezes,21,2.76e-10,8,42
pickoff,21,1.15e-11,8,75
polyzoa,21,9.22e-11,8,54
popjoys,21,2.05e-11,8,70
pyjamas,21,2.59e-11,8,68
pyrexic,21,5.18e-11,8,61
qabalah,21,1.17e-10,8,52
quaichs,21,5.18e-11,8,61
quaking,21,5.83e-11,8,60
quamash,21,5.18e-11,8,61
qubytes,21,4.61e-11,8,62
quetsch,21,4.61e-11,8,62
quiches,21,6.91e-11,8,58
quinche,21,1.04e-10,8,53
quipped,21,6.91e-11,8,58
quirked,21,1.04e-10,8,53
quonked,21,9.22e-11,8,54
quopped,21,6.14e-11,8,59
rhizoma,21,1.56e-10,8,49
azymous,21,4.61e-11,8,62
bemazed,21,2.07e-10,8,46
azimuth,21,7.78e-11,8,57
benzoyl,21,9.22e-11,8,54
charqui,21,7.78e-11,8,57
chamoix,21,5.18e-11,8,61
chalutz,21,3.46e-11,8,65
chalaza,21,1.17e-10,8,52
chachka,21,1.3e-11,8,74
cerveza,21,3.11e-10,8,41
cashbox,21,2.3e-11,8,69
byzants,21,5.18e-11,8,61
buxomly,21,1.02e-11,8,76
buqshas,21,2.3e-11,8,69
boychik,21,1.15e-11,8,75
panchax,21,3.89e-11,8,64
blowzes,21,6.14e-11,8,59
myxomas,21,2.3e-11,8,69
boozily,21,9.22e-11,8,54
obloquy,21,4.1e-11,8,63
benzyls,21,4.61e-11,8,62
packway,21,1.3e-11,8,74
outjinx,21,1.04e-10,8,53
odzooks,21,8.19e-11,8,56
nudzhed,21,9.22e-11,8,54
obsequy,21,6.14e-11,8,59
blowjob,21,2.05e-11,8,70
justify,20,3.46e-11,9,65
highway,20,3.89e-11,9,64
complex,20,3.07e-11,9,66
quality,19,1.56e-10,10,49
inquiry,19,2.33e-10,10,45
exactly,19,1.04e-10,10,53
checked,19,4.61e-11,10,62
exhibit,19,2.33e-10,10,45
phoenix,19,2.07e-10,10,46
acquire,18,4.67e-10,11,38
project,18,1.38e-10,11,50
whereby,18,1.38e-10,11,50
subject,18,4.61e-11,11,62
example,18,2.07e-10,11,46
chicken,18,5.18e-11,11,61
journey,17,2.76e-10,12,42
jointly,17,2.07e-10,12,46
privacy,17,7.78e-11,12,57
exclude,17,1.84e-10,12,47
excited,17,6.22e-10,12,34
anxiety,17,7e-10,12,33
extreme,16,1.24e-09,13,26
kitchen,16,1.56e-10,13,49
justice,16,2.07e-10,13,46
quarter,16,9.33e-10,13,29
realize,16,2.8e-09,13,17
anybody,16,1.38e-10,13,50
examine,16,1.4e-09,13,25
however,16,5.53e-10,13,35
backing,16,5.83e-11,13,60
request,16,8.29e-10,13,30
require,16,1.87e-09,13,21
expense,16,8.29e-10,13,30
heavily,16,3.11e-10,13,41
explain,16,4.67e-10,13,38
healthy,16,2.07e-10,13,46
explore,16,5.53e-10,13,35
express,16,2.76e-10,13,42
whether,16,4.15e-10,13,39
context,16,4.15e-10,13,39
picking,16,5.83e-11,13,60
mixture,16,3.11e-10,13,41
pacific,16,1.17e-10,13,52
chamber,16,1.04e-10,13,53
package,16,1.17e-10,13,52
company,16,6.91e-11,13,58
officer,15,4.15e-10,14,39
victory,15,2.07e-10,14,46
walking,15,1.17e-10,14,52
charity,15,2.33e-10,14,45
himself,15,1.38e-10,14,50
weekend,15,8.29e-10,14,30
helpful,15,6.14e-11,14,59
poverty,15,2.76e-10,14,42
faculty,15,6.91e-11,14,58
achieve,15,9.33e-10,14,29
working,15,1.56e-10,14,49
factory,15,2.07e-10,14,46
vehicle,15,4.15e-10,14,39
academy,15,3.11e-10,14,41
somehow,15,2.46e-10,14,44
dynamic,15,1.56e-10,14,49
therapy,15,3.11e-10,14,41
knowing,15,1.56e-10,14,49
monthly,15,9.22e-11,14,54
compact,15,6.91e-11,14,58
traffic,15,2.33e-10,14,45
thereby,15,4.15e-10,14,39
kingdom,15,1.04e-10,14,53
mystery,15,1.38e-10,14,50
sixteen,14,1.87e-09,15,21
perform,14,2.76e-10,15,42
welcome,14,3.69e-10,15,40
through,14,1.38e-10,15,50
smoking,14,1.04e-10,15,53
webcast,14,2.07e-10,15,46
typical,14,1.56e-10,15,49
fishing,14,2.33e-10,15,45
showing,14,2.07e-10,15,46
unknown,14,1.38e-10,15,50
viewing,14,7e-10,15,33
thought,14,1.38e-10,15,50
banking,14,1.75e-10,15,48
payable,14,3.11e-10,15,41
anxious,14,6.22e-10,15,34
machine,14,4.67e-10,15,38
publish,14,4.61e-11,15,62
keeping,14,4.67e-10,15,38
network,14,4.15e-10,15,39
journal,14,4.15e-10,15,39
desktop,14,1.84e-10,15,47
improve,14,4.15e-10,15,39
command,14,1.38e-10,15,50
economy,14,3.69e-10,15,40
comfort,14,1.84e-10,15,47
perfect,14,4.15e-10,15,39
primary,14,2.33e-10,15,45
forward,14,4.15e-10,15,39
chronic,14,2.07e-10,15,46
payment,14,3.11e-10,15,41
confirm,14,2.07e-10,15,46
perhaps,14,2.07e-10,15,46
chapter,14,3.11e-10,15,41
gateway,14,7e-10,15,33
holiday,14,4.15e-10,15,39
summary,14,6.91e-11,15,58
parking,14,1.75e-10,15,48
wedding,13,6.22e-10,16,34
variety,13,1.4e-09,16,25
touched,13,3.69e-10,16,40
welfare,13,1.24e-09,16,26
whereas,13,1.24e-09,16,26
weather,13,1.87e-09,16,21
survive,13,4.15e-10,16,39
without,13,4.15e-10,16,39
shortly,13,1.84e-10,16,47
offense,13,1.11e-09,16,27
concept,13,2.76e-10,16,42
herself,13,5.53e-10,16,35
speaker,13,6.22e-10,16,34
nowhere,13,1.66e-09,16,22
mistake,13,4.67e-10,16,38
defence,13,1.66e-09,16,22
deficit,13,9.33e-10,16,29
develop,13,7.37e-10,16,32
display,13,2.07e-10,16,46
compete,13,5.53e-10,16,35
divided,13,1.24e-09,16,26
fashion,13,6.22e-10,16,34
fifteen,13,1.87e-09,16,21
involve,13,8.29e-10,16,30
forever,13,1.66e-09,16,22
husband,13,1.38e-10,16,50
freedom,13,1.11e-09,16,27
further,13,4.15e-10,16,39
seventh,13,8.29e-10,16,30
helping,13,3.11e-10,16,41
loyalty,13,2.76e-10,16,42
compare,13,4.15e-10,16,39
history,13,4.15e-10,16,39
combine,13,4.15e-10,16,39
comment,13,2.76e-10,16,42
problem,13,1.84e-10,16,47
provide,13,8.29e-10,16,30
brought,13,1.38e-10,16,50
capable,13,3.11e-10,16,41
removed,13,1.11e-09,16,27
pushing,13,1.04e-10,16,53
railway,13,7e-10,16,33
advance,13,9.33e-10,16,29
satisfy,13,3.11e-10,16,41
premium,13,2.07e-10,16,46
profile,12,8.29e-10,17,30
hundred,12,5.53e-10,17,35
program,12,3.11e-10,17,41
killing,12,2.33e-10,17,45
receive,12,3.73e-09,17,13
liberty,12,6.22e-10,17,34
produce,12,3.69e-10,17,40
library,12,4.67e-10,17,38
massive,12,6.22e-10,17,34
proceed,12,1.11e-09,17,27
medical,12,6.22e-10,17,34
private,12,1.4e-09,17,25
prevent,12,1.24e-09,17,26
predict,12,6.22e-10,17,34
obvious,12,3.69e-10,17,40
passive,12,6.22e-10,17,34
penalty,12,6.22e-10,17,34
product,12,1.84e-10,17,47
succeed,12,3.69e-10,17,40
finance,12,1.4e-09,17,25
heading,12,1.4e-09,17,25
accused,12,2.76e-10,17,42
advised,12,1.24e-09,17,26
alcohol,12,3.69e-10,17,40
applied,12,6.22e-10,17,34
battery,12,9.33e-10,17,29
bedroom,12,7.37e-10,17,32
believe,12,2.49e-09,17,18
beneath,12,1.87e-09,17,21
benefit,12,1.87e-09,17,21
between,12,2.49e-09,17,18
brother,12,8.29e-10,17,30
careful,12,4.15e-10,17,39
century,12,4.15e-10,17,39
channel,12,6.22e-10,17,34
charlie,12,9.33e-10,17,29
charter,12,9.33e-10,17,29
clothes,12,3.69e-10,17,40
hanging,12,5.25e-10,17,36
formula,12,2.76e-10,17,42
finding,12,7e-10,17,33
recover,12,1.66e-09,17,22
fiction,12,9.33e-10,17,29
enhance,12,1.87e-09,17,21
holding,12,4.15e-10,17,39
driving,12,7e-10,17,33
devoted,12,2.21e-09,17,19
decided,12,1.66e-09,17,22
crystal,12,2.07e-10,17,46
country,12,2.76e-10,17,42
convert,12,8.29e-10,17,30
conduct,12,1.84e-10,17,47
drawing,12,7e-10,17,33
reflect,12,8.29e-10,17,30
ability,12,7e-10,17,33
uniform,12,4.15e-10,17,39
surface,12,4.15e-10,17,39
skilled,12,2.76e-10,17,42
society,12,8.29e-10,17,30
removal,12,8.29e-10,17,30
stretch,12,4.15e-10,17,39
website,12,1.24e-09,17,26
service,12,1.24e-09,17,26
teacher,12,1.87e-09,17,21
visible,12,6.22e-10,17,34
binding,11,7e-10,18,33
feeling,11,1.87e-09,18,21
federal,11,2.49e-09,18,18
suspect,11,1.84e-10,18,47
minimal,11,7e-10,18,33
winning,11,1.05e-09,18,28
willing,11,4.67e-10,18,38
council,11,2.76e-10,18,42
failing,11,1.05e-09,18,28
tonight,11,9.33e-10,18,29
evident,11,3.73e-09,18,13
evening,11,2.8e-09,18,17
surgery,11,4.15e-10,18,39
nothing,11,9.33e-10,18,29
because,11,8.29e-10,18,30
species,11,8.29e-10,18,30
wearing,11,2.1e-09,18,20
supreme,11,5.53e-10,18,35
towards,11,8.29e-10,18,30
musical,11,2.07e-10,18,46
filling,11,4.67e-10,18,38
cabinet,11,1.4e-09,18,25
foreign,11,1.87e-09,18,21
climate,11,9.33e-10,18,29
warning,11,1.05e-09,18,28
housing,11,4.15e-10,18,39
classic,11,2.07e-10,18,46
wanting,11,1.05e-09,18,28
circuit,11,4.67e-10,18,38
imaging,11,7.87e-10,18,31
gigabit,11,7.87e-10,18,31
insight,11,7e-10,18,33
collect,11,3.69e-10,18,40
centric,11,9.33e-10,18,29
village,11,9.33e-10,18,29
gallery,11,6.22e-10,18,34
founder,11,1.11e-09,18,27
serving,11,9.33e-10,18,29
capture,11,6.22e-10,18,34
largely,11,6.22e-10,18,34
caption,11,9.33e-10,18,29
captain,11,1.05e-09,18,28
capital,11,7e-10,18,33
telecom,11,1.11e-09,18,27
correct,11,8.29e-10,18,30
caliber,11,9.33e-10,18,29
elderly,11,1.11e-09,18,27
waiting,11,1.57e-09,18,23
balance,11,9.33e-10,18,29
science,11,1.24e-09,18,26
concern,11,8.29e-10,18,30
premier,11,1.87e-09,18,21
optical,11,6.22e-10,18,34
already,11,1.87e-09,18,21
prepare,11,1.87e-09,18,21
support,11,1.84e-10,18,47
density,11,1.24e-09,18,26
deliver,11,2.49e-09,18,18
adviser,11,1.87e-09,18,21
process,11,3.69e-10,18,40
adverse,11,2.49e-09,18,18
upgrade,11,6.22e-10,18,34
respect,11,8.29e-10,18,30
default,11,8.29e-10,18,30
promise,11,8.29e-10,18,30
promote,11,1.11e-09,18,27
protect,11,8.29e-10,18,30
contact,11,6.22e-10,18,34
purpose,11,3.69e-10,18,40
replace,11,1.24e-09,18,26
readily,11,1.87e-09,18,21
success,11,1.23e-10,18,51
crucial,11,3.11e-10,18,41
receipt,11,1.87e-09,18,21
account,11,4.15e-10,18,39
absence,11,1.24e-09,18,26
destroy,11,1.11e-09,18,27
precise,11,1.24e-09,18,26
hearing,11,2.1e-09,18,20
popular,11,2.76e-10,18,42
outcome,11,7.37e-10,18,32
average,11,4.2e-09,18,12
outlook,11,4.92e-10,18,37
concert,11,8.29e-10,18,30
attempt,11,9.33e-10,18,29
diverse,11,2.49e-09,18,18
special,11,6.22e-10,18,34
upscale,11,2.76e-10,18,42
connect,11,8.29e-10,18,30
pending,11,9.33e-10,18,29
writing,11,1.05e-09,18,28
diamond,11,1.24e-09,18,26
percent,11,1.24e-09,18,26
plastic,11,3.11e-10,18,41
picture,11,6.22e-10,18,34
suppose,11,2.46e-10,18,44
utility,10,9.33e-10,19,29
fitness,10,1.24e-09,19,26
totally,10,8.29e-10,19,30
engaged,10,2.8e-09,19,17
version,10,2.49e-09,19,18
venture,10,2.49e-09,19,18
closing,10,4.15e-10,19,39
various,10,1.24e-09,19,26
cutting,10,4.67e-10,19,38
feature,10,3.73e-09,19,13
decline,10,2.49e-09,19,18
despite,10,2.49e-09,19,18
college,10,1.11e-09,19,27
dispute,10,8.29e-10,19,30
deposit,10,1.66e-09,19,22
failure,10,1.87e-09,19,21
discuss,10,1.84e-10,19,47
fortune,10,1.66e-09,19,22
veteran,10,5.6e-09,19,9
genetic,10,2.8e-09,19,17
virtual,10,9.33e-10,19,29
violent,10,2.49e-09,19,18
several,10,2.49e-09,19,18
beating,10,2.1e-09,19,20
bearing,10,2.1e-09,19,20
witness,10,1.24e-09,19,26
opening,10,1.87e-09,19,21
warrant,10,2.1e-09,19,20
overall,10,1.66e-09,19,22
painted,10,2.8e-09,19,17
passage,10,9.33e-10,19,29
passing,10,4.67e-10,19,38
assumed,10,5.53e-10,19,35
nervous,10,1.11e-09,19,27
arrival,10,2.1e-09,19,20
another,10,3.73e-09,19,13
pointed,10,2.49e-09,19,18
analyst,10,9.33e-10,19,29
reverse,10,4.98e-09,19,10
revenue,10,4.98e-09,19,10
respond,10,1.11e-09,19,27
resolve,10,2.21e-09,19,19
reserve,10,4.98e-09,19,10
radical,10,1.4e-09,19,25
reality,10,2.8e-09,19,17
written,10,2.8e-09,19,17
neither,10,5.6e-09,19,9
organic,10,1.4e-09,19,25
western,10,2.49e-09,19,18
ceiling,10,1.4e-09,19,25
morning,10,9.33e-10,19,29
include,10,8.29e-10,19,30
calling,10,4.67e-10,19,38
limited,10,1.87e-09,19,21
logical,10,6.22e-10,19,34
burning,10,4.67e-10,19,38
imagine,10,3.15e-09,19,15
married,10,2.8e-09,19,17
manager,10,2.1e-09,19,20
segment,10,1.24e-09,19,26
besides,10,1.66e-09,19,22
missing,10,4.67e-10,19,38
message,10,1.24e-09,19,26
meeting,10,2.8e-09,19,17
theatre,10,5.6e-09,19,9
meaning,10,2.1e-09,19,20
control,9,1.11e-09,20,27
classes,9,5.53e-10,20,35
contain,9,2.8e-09,20,17
consist,9,8.29e-10,20,30
address,9,1.66e-09,20,22
contest,9,1.66e-09,20,22
suggest,9,4.15e-10,20,39
closure,9,7.37e-10,20,32
content,9,2.49e-09,20,18
trouble,9,1.11e-09,20,27
surplus,9,1.23e-10,20,51
central,9,1.87e-09,20,21
airport,9,2.8e-09,20,17
alleged,9,2.49e-09,20,18
ancient,9,4.2e-09,20,12
carrier,9,4.2e-09,20,12
consent,9,1.66e-09,20,22
article,9,2.8e-09,20,17
attract,9,2.1e-09,20,20
sponsor,9,7.37e-10,20,32
auction,9,1.87e-09,20,21
barrier,9,4.2e-09,20,12
billion,9,1.24e-09,20,26
certain,9,4.2e-09,20,12
caution,9,1.87e-09,20,21
liberal,9,1.87e-09,20,21
counter,9,1.66e-09,20,22
patient,9,4.2e-09,20,12
passion,9,1.24e-09,20,26
partner,9,2.8e-09,20,17
partial,9,2.1e-09,20,20
opinion,9,3.73e-09,20,13
interim,9,4.2e-09,20,12
operate,9,7.46e-09,20,7
ongoing,9,1.87e-09,20,21
landing,9,1.4e-09,20,25
mineral,9,2.8e-09,20,17
leading,9,2.8e-09,20,17
section,9,2.49e-09,20,18
studied,9,1.66e-09,20,22
license,9,2.49e-09,20,18
notable,9,2.49e-09,20,18
counsel,9,7.37e-10,20,32
measure,9,2.49e-09,20,18
monitor,9,2.49e-09,20,18
mention,9,3.73e-09,20,13
million,9,1.24e-09,20,26
nuclear,9,1.24e-09,20,26
pension,9,2.49e-09,20,18
pattern,9,2.8e-09,20,17
element,9,4.98e-09,20,10
remains,9,2.8e-09,20,17
culture,9,5.53e-10,20,35
current,9,1.24e-09,20,26
dealing,9,2.8e-09,20,17
someone,9,4.42e-09,20,11
Reading,9,4.2e-09,20,12
digital,9,2.1e-09,20,20
protest,9,1.66e-09,20,22
protein,9,3.73e-09,20,13
silence,9,2.49e-09,20,18
essence,9,3.32e-09,20,14
mission,9,1.24e-09,20,26
similar,9,1.4e-09,20,25
printer,9,2.8e-09,20,17
silicon,9,1.24e-09,20,26
present,9,2.49e-09,20,18
portion,9,2.49e-09,20,18
pioneer,9,7.46e-09,20,7
nursing,8,9.33e-10,21,29
retired,8,1.12e-08,21,3
student,8,1.66e-09,21,22
outdoor,8,2.95e-09,21,16
outside,8,3.32e-09,21,14
assured,8,1.66e-09,21,22
running,8,1.4e-09,21,25
against,8,3.15e-09,21,15
arrange,8,6.3e-09,21,8
related,8,7.46e-09,21,7
setting,8,2.8e-09,21,17
genuine,8,5.6e-09,21,9
greater,8,8.4e-09,21,6
regular,8,1.87e-09,21,21
illegal,8,1.87e-09,21,21
storage,8,3.73e-09,21,13
sitting,8,2.1e-09,21,20
strange,8,2.8e-09,21,17
edition,8,1.12e-08,21,3
distant,8,2.8e-09,21,17
general,8,5.6e-09,21,9
disease,8,7.46e-09,21,7
telling,8,1.87e-09,21,21
lasting,8,1.4e-09,21,25
learned,8,7.46e-09,21,7
turning,8,1.4e-09,21,25
listing,8,1.4e-09,21,25
instead,8,5.6e-09,21,9
rollout,7,1.47e-09,22,24
eastern,7,1.12e-08,22,3
unusual,7,5.53e-10,22,35
airline,7,1.26e-08,22,2
release,7,1.49e-08,22,1
restore,7,9.95e-09,22,4
natural,7,2.8e-09,22,17
station,7,5.6e-09,22,9
sustain,7,1.87e-09,22,21
illness,7,1.66e-09,22,22
assault,7,1.24e-09,22,26
initial,7,9.45e-09,22,5
install,7,1.87e-09,22,21
tension,7,7.46e-09,22,7
instant,7,4.2e-09,22,12
intense,7,1.12e-08,22,3
session,7,3.32e-09,22,14
leisure,7,4.98e-09,22,10
neutral,7,3.73e-09,22,13
routine,7,7.46e-09,22,7
serious,7,3.32e-09,22,14
